Date,Close
2/8/2013,2670.85
2/11/2013,2669.37
2/12/2013,2673.77
2/13/2013,2676.6
2/14/2013,2678.77
2/15/2013,2676.21
2/19/2013,2696.26
2/20/2013,2662.94
2/21/2013,2646.75
2/22/2013,2670.36
2/25/2013,2621.46
2/26/2013,2637.89
2/27/2013,2672.11
2/28/2013,2669.92
3/1/2013,2676.18
3/4/2013,2688.54
3/5/2013,2714.35
3/6/2013,2718.07
3/7/2013,2723.27
3/8/2013,2735.67
3/11/2013,2744.81
3/12/2013,2738.35
3/13/2013,2741.95
3/14/2013,2758.3
3/15/2013,2753.83
3/18/2013,2738.68
3/19/2013,2732.09
3/20/2013,2750.42
3/21/2013,2727.69
3/22/2013,2747.25
3/25/2013,2738.08
3/26/2013,2760.32
3/27/2013,2758.85
3/28/2013,2770.05
4/1/2013,2757.83
4/2/2013,2772.11
4/3/2013,2743.38
4/4/2013,2754.67
4/5/2013,2742.86
4/8/2013,2761.05
4/9/2013,2770.84
4/10/2013,2804.81
4/11/2013,2815.02
4/12/2013,2807.03
4/15/2013,2742.63
4/16/2013,2781.86
4/17/2013,2742.01
4/18/2013,2723.63
4/19/2013,2747.94
4/22/2013,2760.74
4/23/2013,2789.56
4/24/2013,2789.58
4/25/2013,2801.28
4/26/2013,2796.24
4/29/2013,2816.34
4/30/2013,2823.42
5/1/2013,2797.15
5/2/2013,2823.82
5/3/2013,2853.57
5/6/2013,2859.34
5/7/2013,2874.46
5/8/2013,2886.35
5/9/2013,2876.96
5/10/2013,2890.77
5/13/2013,2891.17
5/14/2013,2921.12
5/15/2013,2936.98
5/16/2013,2922.4
5/17/2013,2952.56
5/20/2013,2950.53
5/21/2013,2955.69
5/22/2013,2931.58
5/23/2013,2923.01
5/24/2013,2921.88
5/28/2013,2940.45
5/29/2013,2920.18
5/30/2013,2931.39
5/31/2013,2889.46
6/3/2013,2906.61
6/4/2013,2891.02
6/5/2013,2851.17
6/6/2013,2876.5
6/7/2013,2913.41
6/10/2013,2912.63
6/11/2013,2883.05
6/12/2013,2859.62
6/13/2013,2902.32
6/14/2013,2885.24
6/17/2013,2907.12
6/18/2013,2929.81
6/19/2013,2889.24
6/20/2013,2817.44
6/21/2013,2824.97
6/24/2013,2790.66
6/25/2013,2817.44
6/26/2013,2845.04
6/27/2013,2862.92
6/28/2013,2850.66
7/1/2013,2866.41
7/2/2013,2865.48
7/3/2013,2867.85
7/5/2013,2897.12
7/8/2013,2913.2
7/9/2013,2934.32
7/10/2013,2934.97
7/11/2013,2975.06
7/12/2013,2984.24
7/15/2013,2988.35
7/16/2013,2977.26
7/17/2013,2985.85
7/18/2013,3001.21
7/19/2013,3006.13
7/22/2013,3012.3
7/23/2013,3006.72
7/24/2013,2995.3
7/25/2013,3003
7/26/2013,3005.51
7/29/2013,2994.45
7/30/2013,2995.68
7/31/2013,2995.72
8/1/2013,3033.59
8/2/2013,3038.63
8/5/2013,3034.43
8/6/2013,3017.16
8/7/2013,3006.63
8/8/2013,3019
8/9/2013,3008.79
8/12/2013,3005.42
8/13/2013,3014.43
8/14/2013,2999.42
8/15/2013,2957.08
8/16/2013,2947.46
8/19/2013,2930.27
8/20/2013,2941.58
8/21/2013,2924.73
8/22/2013,2949.96
8/23/2013,2962.06
8/26/2013,2950.13
8/27/2013,2903.29
8/28/2013,2911.83
8/29/2013,2917.96
8/30/2013,2908.96
9/3/2013,2921.23
9/4/2013,2945.62
9/5/2013,2949.27
9/6/2013,2949.8
9/9/2013,2979.45
9/10/2013,3001.36
9/11/2013,3010.94
9/12/2013,3001.62
9/13/2013,3009.79
9/16/2013,3026.94
9/17/2013,3039.75
9/18/2013,3076.81
9/19/2013,3071.61
9/20/2013,3049.47
9/23/2013,3035.09
9/24/2013,3027.52
9/25/2013,3019.31
9/26/2013,3030.41
9/27/2013,3018.24
9/30/2013,3000.18
10/1/2013,3024.38
10/2/2013,3022.95
10/3/2013,2995.81
10/4/2013,3017.05
10/7/2013,2991.39
10/8/2013,2955.41
10/9/2013,2957.4
10/10/2013,3022.43
10/11/2013,3041.43
10/14/2013,3053.84
10/15/2013,3032.27
10/16/2013,3074.54
10/17/2013,3095.42
10/18/2013,3115.77
10/21/2013,3116.09
10/22/2013,3133.98
10/23/2013,3119.2
10/24/2013,3129.41
10/25/2013,3143.16
10/28/2013,3147.36
10/29/2013,3165.11
10/30/2013,3149.93
10/31/2013,3138.09
11/1/2013,3147.21
11/4/2013,3158.47
11/5/2013,3149.96
11/6/2013,3165.13
11/7/2013,3124.12
11/8/2013,3166.11
11/11/2013,3168.41
11/12/2013,3161.1
11/13/2013,3187.64
11/14/2013,3203.65
11/15/2013,3217.2
11/18/2013,3205.46
11/19/2013,3199.52
11/20/2013,3188.04
11/21/2013,3214.16
11/22/2013,3230.54
11/25/2013,3226.53
11/26/2013,3227.36
11/27/2013,3236.14
11/29/2013,3233.72
12/2/2013,3225.06
12/3/2013,3214.95
12/4/2013,3211.59
12/5/2013,3197.76
12/6/2013,3233.99
12/9/2013,3239.99
12/10/2013,3229.72
12/11/2013,3193.52
12/12/2013,3182.33
12/13/2013,3182.07
12/16/2013,3202.22
12/17/2013,3192.33
12/18/2013,3245.59
12/19/2013,3244.15
12/20/2013,3259.79
12/23/2013,3277.62
12/24/2013,3287.55
12/26/2013,3303.15
12/27/2013,3302.66
12/30/2013,3302.3
12/31/2013,3315.59
1/2/2014,3286.69
1/3/2014,3285.68
1/6/2014,3277.48
1/7/2014,3297.45
1/8/2014,3297.74
1/9/2014,3298.87
1/10/2014,3306.49
1/13/2014,3265.27
1/14/2014,3300.61
1/15/2014,3317.75
1/16/2014,3313.36
1/17/2014,3300.51
1/21/2014,3309.74
1/22/2014,3312.04
1/23/2014,3282.64
1/24/2014,3214.14
1/27/2014,3198.57
1/28/2014,3218.21
1/29/2014,3185.7
1/30/2014,3221.78
1/31/2014,3200.95
2/3/2014,3127.87
2/4/2014,3151.94
2/5/2014,3146.49
2/6/2014,3187.25
2/7/2014,3229.65
2/10/2014,3234.79
2/11/2014,3270.74
2/12/2014,3271.47
2/13/2014,3290.82
2/14/2014,3306.92
2/18/2014,3311.27
2/19/2014,3289.83
2/20/2014,3310.27
2/21/2014,3304.36
2/24/2014,3324.84
2/25/2014,3320.43
2/26/2014,3321.15
2/27/2014,3338.05
2/28/2014,3347.38
3/3/2014,3322.85
3/4/2014,3373.64
3/5/2014,3374.1
3/6/2014,3380.49
3/7/2014,3382.57
3/10/2014,3381.22
3/11/2014,3364.17
3/12/2014,3366.07
3/13/2014,3327.11
3/14/2014,3317.81
3/17/2014,3349.71
3/18/2014,3373.98
3/19/2014,3353.29
3/20/2014,3373.6
3/21/2014,3363.72
3/24/2014,3347.36
3/25/2014,3362.44
3/26/2014,3339
3/27/2014,3333.23
3/28/2014,3348.83
3/31/2014,3375.51
4/1/2014,3399.51
4/2/2014,3409.8
4/3/2014,3406
4/4/2014,3363.41
4/7/2014,3327.27
4/8/2014,3340.84
4/9/2014,3377.61
4/10/2014,3307.08
4/11/2014,3276.04
4/14/2014,3302.98
4/15/2014,3325.3
4/16/2014,3360.27
4/17/2014,3365
4/21/2014,3377.75
4/22/2014,3391.58
4/23/2014,3384.5
4/24/2014,3390.39
4/25/2014,3362.95
4/28/2014,3374.04
4/29/2014,3390.16
4/30/2014,3400.46
5/1/2014,3400.2
5/2/2014,3395.61
5/5/2014,3402.23
5/6/2014,3371.72
5/7/2014,3392.1
5/8/2014,3388.29
5/9/2014,3394.05
5/12/2014,3427.01
5/13/2014,3429.3
5/14/2014,3413.84
5/15/2014,3382.52
5/16/2014,3395.21
5/19/2014,3408.52
5/20/2014,3386.48
5/21/2014,3414.45
5/22/2014,3422.99
5/23/2014,3437.58
5/27/2014,3458.19
5/28/2014,3454.88
5/29/2014,3473.86
5/30/2014,3480.29
6/2/2014,3483.14
6/3/2014,3482
6/4/2014,3489.21
6/5/2014,3512.21
6/6/2014,3528.98
6/9/2014,3532.47
6/10/2014,3531.62
6/11/2014,3519.52
6/12/2014,3495.57
6/13/2014,3506.58
6/16/2014,3509.54
6/17/2014,3517.23
6/18/2014,3544.42
6/19/2014,3549.44
6/20/2014,3555.6
6/23/2014,3555.14
6/24/2014,3532.57
6/25/2014,3549.96
6/26/2014,3546.38
6/27/2014,3553.35
6/30/2014,3552.18
7/1/2014,3576.55
7/2/2014,3579.11
7/3/2014,3598.73
7/7/2014,3584.75
7/8/2014,3560.53
7/9/2014,3577.28
7/10/2014,3562.49
7/11/2014,3568.08
7/14/2014,3585.37
7/15/2014,3578.46
7/16/2014,3593.91
7/17/2014,3551.73
7/18/2014,3588.21
7/21/2014,3579.99
7/22/2014,3597.95
7/23/2014,3604.3
7/24/2014,3606.1
7/25/2014,3588.68
7/28/2014,3589.73
7/29/2014,3573.65
7/30/2014,3574.45
7/31/2014,3503.19
8/1/2014,3493.18
8/4/2014,3518.31
8/5/2014,3484.56
8/6/2014,3485.67
8/7/2014,3467.14
8/8/2014,3507.21
8/11/2014,3517.53
8/12/2014,3511.96
8/13/2014,3536.42
8/14/2014,3551.97
8/15/2014,3552.17
8/18/2014,3582.7
8/19/2014,3601.33
8/20/2014,3610.49
8/21/2014,3621.23
8/22/2014,3614.5
8/25/2014,3631.86
8/26/2014,3635.71
8/27/2014,3636.64
8/28/2014,3630.98
8/29/2014,3643.33
9/2/2014,3641.52
9/3/2014,3639.35
9/4/2014,3633.87
9/5/2014,3652.26
9/8/2014,3641.66
9/9/2014,3617.89
9/10/2014,3631.45
9/11/2014,3635.66
9/12/2014,3614.06
9/15/2014,3611.52
9/16/2014,3638.6
9/17/2014,3643.4
9/18/2014,3661.73
9/19/2014,3660.03
9/22/2014,3630.7
9/23/2014,3610.1
9/24/2014,3638.44
9/25/2014,3579.61
9/26/2014,3610.98
9/29/2014,3602.09
9/30/2014,3592.25
10/1/2014,3544.98
10/2/2014,3545.3
10/3/2014,3584.94
10/6/2014,3579.42
10/7/2014,3525.29
10/8/2014,3588.07
10/9/2014,3514.12
10/10/2014,3474.23
10/13/2014,3417.01
10/14/2014,3422.43
10/15/2014,3395.03
10/16/2014,3395.64
10/17/2014,3439.39
10/20/2014,3470.89
10/21/2014,3538.9
10/22/2014,3513.47
10/23/2014,3556.7
10/24/2014,3581.82
10/27/2014,3576.47
10/28/2014,3619.16
10/29/2014,3614.53
10/30/2014,3637.3
10/31/2014,3679.99
11/3/2014,3679.58
11/4/2014,3669.18
11/5/2014,3691.38
11/6/2014,3706.45
11/7/2014,3708.46
11/10/2014,3720.25
11/11/2014,3722.84
11/12/2014,3721.3
11/13/2014,3723.58
11/14/2014,3724.92
11/17/2014,3727.86
11/18/2014,3747.74
11/19/2014,3742.35
11/20/2014,3749.87
11/21/2014,3770.03
11/24/2014,3780.88
11/25/2014,3776.94
11/26/2014,3788.42
11/28/2014,3778.96
12/1/2014,3753.31
12/2/2014,3777.47
12/3/2014,3792.68
12/4/2014,3788.34
12/5/2014,3794.68
12/8/2014,3767.7
12/9/2014,3758.87
12/10/2014,3705.51
12/11/2014,3723.32
12/12/2014,3663.1
12/15/2014,3639.97
12/16/2014,3609.06
12/17/2014,3682.7
12/18/2014,3771.72
12/19/2014,3788.97
